INSEE_COM;Annee;Nb_mutations;NbMaisons;NbApparts;propmaison;propappart;PrixMoyen;Prixm2Moyen;SurfaceMoy
35205;2023;7;7;0;100;0;167857.142857143;2183.85714285714;75.2857142857143
35206;2023;152;54;98;35.5263157894737;64.4736842105263;211509.855263158;2752.43421052632;78.1578947368421
35207;2023;67;36;31;53.7313432835821;46.2686567164179;262439.014925373;3035.49253731343;88.955223880597
35208;2023;62;52;10;83.8709677419355;16.1290322580645;268528.290322581;2836.40322580645;96.6451612903226
35210;2023;127;80;47;62.992125984252;37.007874015748;329686.763779528;3499.92913385827;95.1259842519685
35211;2023;33;33;0;100;0;189875.696969697;1973.27272727273;97.0909090909091
35212;2023;19;19;0;100;0;198735.263157895;1873.21052631579;108.052631578947
35214;2023;9;9;0;100;0;163642.222222222;2226.88888888889;88.4444444444444
35215;2023;17;17;0;100;0;200758.764705882;1985.82352941176;108.941176470588
35216;2023;18;9;9;50;50;210220.555555556;2493.77777777778;84.8333333333333
35217;2023;17;17;0;100;0;150988.235294118;1404.29411764706;111.705882352941
35218;2023;9;9;0;100;0;241253.222222222;2303.22222222222;101.666666666667
35219;2023;38;36;2;94.7368421052632;5.26315789473684;159773.421052632;1720.10526315789;93.4210526315789
35220;2023;37;36;1;97.2972972972973;2.7027027027027;249945.216216216;2089.18918918919;121.540540540541
35221;2023;24;23;1;95.8333333333333;4.16666666666667;140897.5;1697.04166666667;83.3333333333333
35222;2023;26;26;0;100;0;151827.807692308;1802.19230769231;92.0769230769231
35223;2023;50;44;6;88;12;195766.72;2143.04;93.74
35224;2023;39;39;0;100;0;223247.871794872;2187.58974358974;100.282051282051
35225;2023;16;13;3;81.25;18.75;190334;2045.6875;98.125
35226;2023;30;28;2;93.3333333333333;6.66666666666667;181935.5;2183.23333333333;96.5333333333333
35227;2023;20;17;3;85;15;244115.65;2609.45;96.35
35228;2023;125;91;34;72.8;27.2;273184.544;3105.752;89.512
35229;2023;12;12;0;100;0;293720.583333333;2179;137.25
35230;2023;2;2;0;100;0;104450;1558.5;93
35231;2023;12;8;4;66.6666666666667;33.3333333333333;215153.333333333;2126.16666666667;95.8333333333333
35232;2023;7;7;0;100;0;159428.428571429;1339.28571428571;116.857142857143
35233;2023;17;17;0;100;0;252789.352941176;2443.82352941176;101.647058823529
35234;2023;10;10;0;100;0;165750;1694.1;100.5
35235;2023;10;10;0;100;0;156600;1653.6;89.9
35236;2023;128;79;49;61.71875;38.28125;191283.4609375;2181.765625;89.9140625
35237;2023;16;16;0;100;0;114777.75;1635;72.8125
35238;2023;3154;391;2763;12.3969562460368;87.6030437539632;254654.467343056;4061.46385542169;63.0459733671528
35239;2023;46;41;5;89.1304347826087;10.8695652173913;157021.065217391;1956.67391304348;82.9565217391304
35240;2023;98;44;54;44.8979591836735;55.1020408163265;256164.653061224;2909.47959183673;91.1224489795918
35241;2023;23;11;12;47.8260869565217;52.1739130434783;402266.391304348;4276.69565217391;88.5652173913043
35242;2023;4;4;0;100;0;102500;1166.25;96.25
35243;2023;25;24;1;96;4;180366.48;1869.8;100.08
35244;2023;4;4;0;100;0;153937.5;1249.25;123.5
